,Iteration,Exploitability
0,200,0.0002949604835149333
1,400,0.0002542154932980156
2,600,8.385169814259519e-05
3,800,0.00014121445469184035
4,1000,8.736532252084928e-05
5,1200,0.00011941709986995619
6,1400,5.344666980419688e-05
7,1600,5.2261577892065425e-05
8,1800,9.147043498433649e-05
9,2000,4.3648619373365394e-05
10,2200,7.586437869841478e-05
11,2400,4.804758353321725e-05
12,2600,4.205091854103671e-05
13,2800,3.441434856421566e-05
14,3000,3.923119368345884e-05
15,3200,5.965753116723982e-05
16,3400,2.355221110114658e-05
17,3600,4.5912381380686096e-05
18,3800,3.201849873785134e-05
19,4000,4.3044187806068335e-05
20,4200,1.8609932021990128e-05
21,4400,3.58422014280213e-05
22,4600,3.8955401732793105e-05
23,4800,3.650362412424557e-05
24,5000,2.768785956808184e-05
25,5200,2.3993203967787036e-05
26,5400,2.537650393519275e-05
27,5600,2.916850315876074e-05
28,5800,3.560453869813629e-05
29,6000,3.52100773579056e-05
30,6200,1.9820204561121768e-05
31,6400,1.2292945614111872e-05
32,6600,2.9431170922911143e-05
33,6800,2.355479375429348e-05
34,7000,1.8992856895577725e-05
35,7200,2.9854813748647624e-05
36,7400,1.1078647575074596e-05
37,7600,2.6307478635606563e-05
38,7800,9.621154946903854e-06
39,8000,2.733597873239013e-05
40,8200,1.6628378218364048e-05
41,8400,1.5152354615827202e-05
42,8600,2.5971234231064733e-05
43,8800,1.7499243276514198e-05
44,9000,1.1292878680346785e-05
45,9200,2.1572932018404378e-05
46,9400,2.4865116295930134e-05
47,9600,1.6157931871263465e-05
48,9800,1.1737134418488004e-05
49,10000,9.632756980737511e-06
50,10200,1.2436495159195982e-05
51,10400,1.3372337450134886e-05
52,10600,1.7023655961040385e-05
53,10800,1.8799798986723903e-05
54,11000,1.752078872113705e-05
55,11200,1.9081244390567464e-05
56,11400,1.5802755740396135e-05
57,11600,1.5386439592951495e-05
58,11800,1.152393789827233e-05
59,12000,8.236178990372878e-06
60,12200,8.394047231213841e-06
61,12400,1.2133446811640747e-05
62,12600,1.3698743096118848e-05
63,12800,1.938228924125429e-05
64,13000,1.599465057502969e-05
65,13200,7.925491357169134e-06
66,13400,7.165412900633772e-06
67,13600,1.5340514576217545e-05
68,13800,1.7484843329612643e-05
69,14000,8.757515088941847e-06
70,14200,1.1536948858636986e-05
71,14400,1.6208812020274133e-05
72,14600,8.646604007095382e-06
73,14800,1.0524963015956512e-05
74,15000,1.528911789908105e-05
75,15200,6.33663351545799e-06
76,15400,1.2767996968893192e-05
77,15600,1.1457761062733107e-05
78,15800,9.759995382691011e-06
79,16000,1.4796682071299694e-05
80,16200,6.676174196307283e-06
81,16400,1.5825127371804637e-05
82,16600,6.85079896001195e-06
83,16800,1.4840054901571476e-05
84,17000,5.4413105121942085e-06
85,17200,1.3830524900892982e-05
86,17400,6.669941090747811e-06
87,17600,1.4551961594944096e-05
88,17800,7.160484731399963e-06
89,18000,1.011095877323509e-05
90,18200,1.118238181516129e-05
91,18400,7.145403682962126e-06
92,18600,1.3160376019921705e-05
93,18800,8.385135530669663e-06
94,19000,9.78740493168262e-06
95,19200,1.214273060279325e-05
96,19400,6.955243322281923e-06
97,19600,1.0035641992506283e-05
98,19800,1.1744162455612495e-05
99,20000,6.680265475955682e-06
100,20200,7.290532021336782e-06
101,20400,1.2682920891932126e-05
102,20600,8.857914139792644e-06
103,20800,5.70127009177912e-06
104,21000,9.52474421977989e-06
105,21200,1.186115859433401e-05
106,21400,8.892608476529507e-06
107,21600,5.987066899332261e-06
108,21800,7.36603026540994e-06
109,22000,1.1026244908063365e-05
110,22200,1.1159466818677632e-05
111,22400,8.156312752721773e-06
112,22600,4.884549225536716e-06
113,22800,6.2249934882074864e-06
114,23000,8.035991423627209e-06
115,23200,1.0992986539309912e-05
116,23400,1.141489690728581e-05
117,23600,8.80711141976187e-06
118,23800,7.324020397408981e-06
119,24000,5.9883460253318255e-06
120,24200,4.295724284897329e-06
121,24400,5.725900261738248e-06
122,24600,6.743464793929066e-06
123,24800,7.454757816383051e-06
124,25000,9.24843784019802e-06
125,25200,1.0393704716921137e-05
126,25400,1.009976868432405e-05
127,25600,1.009117496994505e-05
128,25800,1.0688630654509534e-05
129,26000,1.0633427981854293e-05
130,26200,9.835018914494675e-06
131,26400,9.458229068781687e-06
132,26600,9.841417126621455e-06
133,26800,1.0249360796188434e-05
134,27000,1.0093598646260249e-05
135,27200,9.650666168314892e-06
136,27400,9.4733700722327e-06
137,27600,9.650918673914655e-06
138,27800,9.80448847454074e-06
139,28000,9.483505473806275e-06
140,28200,8.51911181909415e-06
141,28400,7.1005398660783925e-06
142,28600,5.6108467372528725e-06
143,28800,4.448840794479825e-06
144,29000,3.94319988888947e-06
145,29200,4.302538429201697e-06
146,29400,5.534446354427125e-06
147,29600,7.327604695600565e-06
148,29800,8.988299804002509e-06
149,30000,9.622658067670598e-06
150,30200,8.694693608507498e-06
151,30400,6.6305752532414e-06
152,30600,4.744026723624284e-06
153,30800,4.383102430394192e-06
154,31000,6.078378879198487e-06
155,31200,8.150283181462825e-06
156,31400,8.896300505129018e-06
157,31600,7.146514949152305e-06
158,31800,4.6849913989677194e-06
159,32000,4.413602846115028e-06
160,32200,6.514635301407834e-06
161,32400,8.749307347760693e-06
162,32600,7.817660743453247e-06
163,32800,5.005441770372654e-06
164,33000,4.522952095048494e-06
165,33200,7.20297572792683e-06
166,33400,8.713328864817793e-06
167,33600,6.150420124251266e-06
168,33800,3.8767643453507805e-06
169,34000,5.760968715351478e-06
170,34200,7.981831950887308e-06
171,34400,5.6883680364383515e-06
172,34600,3.9268718991514184e-06
173,34800,6.370401686189853e-06
174,35000,8.220159642413627e-06
175,35200,5.234616081872812e-06
176,35400,4.459880700052876e-06
177,35600,7.582589199278678e-06
178,35800,6.35231849180351e-06
179,36000,3.492984362252205e-06
180,36200,6.35556272285398e-06
181,36400,7.605952094785762e-06
