,Iteration,Exploitability
0,50,0.011055555555555374
1,100,0.00552777777777802
2,150,0.0036851851851851247
3,200,0.00276388888888901
4,250,0.0022111111111111637
5,300,0.0018425925925926734
6,350,0.0015793650793651803
7,400,0.001381944444444283
8,450,0.0012283950617282269
9,500,0.0011055555555556928
10,550,0.0010050505050505087
11,600,0.0009212962962965587
12,650,0.0008504273504275073
13,700,0.0007896825396824791
14,750,0.0007370370370372026
15,800,0.0006909722222223635
16,850,0.0006503267973856364
17,900,0.0006141975308640024
18,950,0.0005818713450294055
19,1000,0.0005527777777776244
