,cfr Return Against random,Order
0,4.0,First Moving
1,4.0,First Moving
2,2.0,First Moving
3,2.0,First Moving
4,1.0,First Moving
5,1.0,First Moving
6,0.0,First Moving
7,0.0,First Moving
8,6.0,First Moving
9,4.0,First Moving
10,6.0,First Moving
11,2.0,First Moving
12,5.0,First Moving
13,2.0,First Moving
14,3.0,First Moving
15,0.0,First Moving
16,0.0,First Moving
17,2.0,First Moving
18,1.0,First Moving
19,2.0,First Moving
20,2.0,First Moving
21,2.0,First Moving
22,4.0,First Moving
23,4.0,First Moving
24,2.0,First Moving
25,-2.0,First Moving
26,5.0,First Moving
27,1.0,First Moving
28,0.0,First Moving
29,7.0,First Moving
30,4.0,First Moving
31,0.0,First Moving
32,6.0,First Moving
33,4.0,First Moving
34,2.0,First Moving
35,2.0,First Moving
36,3.0,First Moving
37,-2.0,First Moving
38,4.0,First Moving
39,4.0,First Moving
40,2.0,First Moving
41,0.0,First Moving
42,2.0,First Moving
43,3.0,First Moving
44,2.0,First Moving
45,2.0,First Moving
46,0.0,First Moving
47,4.0,First Moving
48,2.0,First Moving
49,6.0,First Moving
50,2.0,First Moving
51,0.0,First Moving
52,7.0,First Moving
53,0.0,First Moving
54,3.0,First Moving
55,1.0,First Moving
56,6.0,First Moving
57,2.0,First Moving
58,2.0,First Moving
59,4.0,First Moving
60,1.0,First Moving
61,6.0,First Moving
62,2.0,First Moving
63,2.0,First Moving
64,0.0,First Moving
65,5.0,First Moving
66,2.0,First Moving
67,6.0,First Moving
68,3.0,First Moving
69,2.0,First Moving
70,0.0,First Moving
71,2.0,First Moving
72,2.0,First Moving
73,4.0,First Moving
74,-2.0,First Moving
75,4.0,First Moving
76,6.0,First Moving
77,3.0,First Moving
78,4.0,First Moving
79,-2.0,First Moving
80,0.0,First Moving
81,2.0,First Moving
82,4.0,First Moving
83,0.0,First Moving
84,4.0,First Moving
85,3.0,First Moving
86,4.0,First Moving
87,2.0,First Moving
88,3.0,First Moving
89,4.0,First Moving
90,0.0,First Moving
91,0.0,First Moving
92,0.0,First Moving
93,6.0,First Moving
94,2.0,First Moving
95,3.0,First Moving
96,2.0,First Moving
97,4.0,First Moving
98,0.0,First Moving
99,2.0,First Moving
100,4.0,First Moving
101,2.0,First Moving
102,-2.0,First Moving
103,7.0,First Moving
104,2.0,First Moving
105,4.0,First Moving
106,7.0,First Moving
107,1.0,First Moving
108,0.0,First Moving
109,2.0,First Moving
110,5.0,First Moving
111,0.0,First Moving
112,3.0,First Moving
113,2.0,First Moving
114,6.0,First Moving
115,2.0,First Moving
116,4.0,First Moving
117,2.0,First Moving
118,2.0,First Moving
119,0.0,First Moving
120,1.0,First Moving
121,2.0,First Moving
122,0.0,First Moving
123,2.0,First Moving
124,0.0,First Moving
125,2.0,First Moving
126,7.0,First Moving
127,3.0,First Moving
128,2.0,First Moving
129,4.0,First Moving
130,4.0,First Moving
131,0.0,First Moving
132,2.0,First Moving
133,4.0,First Moving
134,4.0,First Moving
135,2.0,First Moving
136,2.0,First Moving
137,2.0,First Moving
138,6.0,First Moving
139,0.0,First Moving
140,2.0,First Moving
141,4.0,First Moving
142,-2.0,First Moving
143,2.0,First Moving
144,6.0,First Moving
145,5.0,First Moving
146,7.0,First Moving
147,2.0,First Moving
148,0.0,First Moving
149,-2.0,First Moving
150,0.0,First Moving
151,4.0,First Moving
152,4.0,First Moving
153,2.0,First Moving
154,6.0,First Moving
155,2.0,First Moving
156,4.0,First Moving
157,5.0,First Moving
158,3.0,First Moving
159,2.0,First Moving
160,4.0,First Moving
161,0.0,First Moving
162,6.0,First Moving
163,2.0,First Moving
164,3.0,First Moving
165,3.0,First Moving
166,3.0,First Moving
167,3.0,First Moving
168,4.0,First Moving
169,2.0,First Moving
170,2.0,First Moving
171,4.0,First Moving
172,1.0,First Moving
173,2.0,First Moving
174,0.0,First Moving
175,4.0,First Moving
176,2.0,First Moving
177,0.0,First Moving
178,4.0,First Moving
179,-2.0,First Moving
180,2.0,First Moving
181,0.0,First Moving
182,2.0,First Moving
183,0.0,First Moving
184,-2.0,First Moving
185,3.0,First Moving
186,1.0,First Moving
187,2.0,First Moving
188,4.0,First Moving
189,6.0,First Moving
190,0.0,First Moving
191,2.0,First Moving
192,3.0,First Moving
193,0.0,First Moving
194,4.0,First Moving
195,4.0,First Moving
196,2.0,First Moving
197,6.0,First Moving
198,2.0,First Moving
199,4.0,First Moving
200,2.0,First Moving
201,3.0,First Moving
202,0.0,First Moving
203,6.0,First Moving
204,6.0,First Moving
205,0.0,First Moving
206,2.0,First Moving
207,4.0,First Moving
208,4.0,First Moving
209,4.0,First Moving
210,-2.0,First Moving
211,6.0,First Moving
212,2.0,First Moving
213,1.0,First Moving
214,7.0,First Moving
215,2.0,First Moving
216,2.0,First Moving
217,0.0,First Moving
218,6.0,First Moving
219,1.0,First Moving
220,0.0,First Moving
221,4.0,First Moving
222,0.0,First Moving
223,4.0,First Moving
224,1.0,First Moving
225,2.0,First Moving
226,-2.0,First Moving
227,3.0,First Moving
228,2.0,First Moving
229,3.0,First Moving
230,1.0,First Moving
231,0.0,First Moving
232,2.0,First Moving
233,2.0,First Moving
234,2.0,First Moving
235,2.0,First Moving
236,4.0,First Moving
237,5.0,First Moving
238,1.0,First Moving
239,5.0,First Moving
240,6.0,First Moving
241,1.0,First Moving
242,1.0,First Moving
243,6.0,First Moving
244,2.0,First Moving
245,2.0,First Moving
246,-2.0,First Moving
247,0.0,First Moving
248,0.0,First Moving
249,3.0,First Moving
250,2.0,First Moving
251,1.0,First Moving
252,6.0,First Moving
253,3.0,First Moving
254,4.0,First Moving
255,0.0,First Moving
256,2.0,First Moving
257,7.0,First Moving
258,6.0,First Moving
259,2.0,First Moving
260,4.0,First Moving
261,4.0,First Moving
262,2.0,First Moving
263,4.0,First Moving
264,3.0,First Moving
265,3.0,First Moving
266,0.0,First Moving
267,2.0,First Moving
268,4.0,First Moving
269,4.0,First Moving
270,0.0,First Moving
271,0.0,First Moving
272,4.0,First Moving
273,2.0,First Moving
274,2.0,First Moving
275,3.0,First Moving
276,2.0,First Moving
277,2.0,First Moving
278,4.0,First Moving
279,1.0,First Moving
280,2.0,First Moving
281,4.0,First Moving
282,6.0,First Moving
283,2.0,First Moving
284,4.0,First Moving
