,cfrplus Return Against random,Order
0,2.0,First Moving
1,6.0,First Moving
2,2.0,First Moving
3,4.0,First Moving
4,2.0,First Moving
5,2.0,First Moving
6,1.0,First Moving
7,2.0,First Moving
8,0.0,First Moving
9,2.0,First Moving
10,3.0,First Moving
11,4.0,First Moving
12,0.0,First Moving
13,2.0,First Moving
14,6.0,First Moving
15,4.0,First Moving
16,7.0,First Moving
17,7.0,First Moving
18,6.0,First Moving
19,-2.0,First Moving
20,4.0,First Moving
21,3.0,First Moving
22,6.0,First Moving
23,0.0,First Moving
24,2.0,First Moving
25,2.0,First Moving
26,0.0,First Moving
27,6.0,First Moving
28,6.0,First Moving
29,3.0,First Moving
30,2.0,First Moving
31,4.0,First Moving
32,3.0,First Moving
33,2.0,First Moving
34,3.0,First Moving
35,0.0,First Moving
36,2.0,First Moving
37,2.0,First Moving
38,4.0,First Moving
39,3.0,First Moving
40,2.0,First Moving
41,-2.0,First Moving
42,-2.0,First Moving
43,0.0,First Moving
44,3.0,First Moving
45,3.0,First Moving
46,2.0,First Moving
47,2.0,First Moving
48,6.0,First Moving
49,2.0,First Moving
50,2.0,First Moving
51,4.0,First Moving
52,1.0,First Moving
53,3.0,First Moving
54,4.0,First Moving
55,4.0,First Moving
56,0.0,First Moving
57,0.0,First Moving
58,0.0,First Moving
59,6.0,First Moving
60,6.0,First Moving
61,1.0,First Moving
62,3.0,First Moving
63,2.0,First Moving
64,4.0,First Moving
65,7.0,First Moving
66,2.0,First Moving
67,0.0,First Moving
68,2.0,First Moving
69,1.0,First Moving
70,2.0,First Moving
71,6.0,First Moving
72,0.0,First Moving
73,0.0,First Moving
74,6.0,First Moving
75,2.0,First Moving
76,6.0,First Moving
77,3.0,First Moving
78,1.0,First Moving
79,7.0,First Moving
80,2.0,First Moving
81,0.0,First Moving
82,4.0,First Moving
83,3.0,First Moving
84,6.0,First Moving
85,0.0,First Moving
86,0.0,First Moving
87,2.0,First Moving
88,1.0,First Moving
89,2.0,First Moving
90,2.0,First Moving
91,4.0,First Moving
92,1.0,First Moving
93,2.0,First Moving
94,2.0,First Moving
95,1.0,First Moving
96,4.0,First Moving
97,2.0,First Moving
98,2.0,First Moving
99,4.0,First Moving
100,2.0,First Moving
101,0.0,First Moving
102,0.0,First Moving
103,2.0,First Moving
104,4.0,First Moving
105,2.0,First Moving
106,4.0,First Moving
107,6.0,First Moving
