,qlearner Return Against mmd,Order
0,2.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,1.0,0
5,2.0,0
6,2.0,0
7,0.0,0
8,-2.0,0
9,1.0,0
10,6.0,0
11,3.0,0
12,5.0,0
13,4.0,0
14,4.0,0
15,4.0,0
16,4.0,0
17,0.0,0
18,4.0,0
19,-2.0,0
20,7.0,0
21,1.0,0
22,7.0,0
23,0.0,0
24,4.0,0
25,2.0,0
26,0.0,0
27,2.0,0
28,1.0,0
29,0.0,0
30,3.0,0
31,0.0,0
32,3.0,0
33,4.0,0
34,2.0,0
35,2.0,0
36,2.0,0
37,2.0,0
38,2.0,0
39,0.0,0
40,4.0,0
41,7.0,0
42,4.0,0
43,4.0,0
44,4.0,0
45,2.0,0
46,6.0,0
47,2.0,0
48,3.0,0
49,3.0,0
50,6.0,0
51,4.0,0
52,2.0,0
53,1.0,0
54,1.0,0
55,4.0,0
56,4.0,0
57,-2.0,0
58,4.0,0
59,6.0,0
60,2.0,0
61,2.0,0
62,3.0,0
63,-2.0,0
64,3.0,0
65,3.0,0
66,4.0,0
67,5.0,0
68,0.0,0
69,3.0,0
70,2.0,0
71,2.0,0
72,0.0,0
73,6.0,0
74,4.0,0
75,2.0,0
76,0.0,0
77,0.0,0
78,4.0,0
79,2.0,0
80,0.0,0
81,4.0,0
82,1.0,0
83,4.0,0
84,-2.0,0
85,2.0,0
86,1.0,0
87,0.0,0
88,2.0,0
89,3.0,0
90,4.0,0
91,2.0,0
92,4.0,0
93,2.0,0
94,1.0,0
95,7.0,0
96,4.0,0
97,3.0,0
98,4.0,0
99,1.0,0
100,4.0,0
101,2.0,0
102,4.0,0
103,0.0,0
104,1.0,0
105,4.0,0
106,1.0,0
107,6.0,0
108,3.0,0
109,2.0,0
110,0.0,0
111,0.0,0
112,4.0,0
113,2.0,0
114,0.0,0
115,1.0,0
116,0.0,0
117,5.0,0
118,4.0,0
119,4.0,0
120,4.0,0
121,6.0,0
122,2.0,0
123,2.0,0
124,2.0,0
125,2.0,0
126,0.0,0
127,0.0,0
128,2.0,0
129,2.0,0
130,0.0,0
131,6.0,0
132,2.0,0
133,2.0,0
134,0.0,0
135,2.0,0
136,0.0,0
137,2.0,0
138,3.0,0
139,4.0,0
140,4.0,0
141,1.0,0
142,4.0,0
143,0.0,0
144,2.0,0
145,2.0,0
146,-2.0,0
147,2.0,0
148,4.0,0
149,4.0,0
150,2.0,0
151,2.0,0
152,4.0,0
153,7.0,0
154,-2.0,0
155,1.0,0
156,4.0,0
157,2.0,0
158,4.0,0
159,1.0,0
160,2.0,0
161,2.0,0
162,6.0,0
163,4.0,0
164,4.0,0
165,2.0,0
166,2.0,0
167,6.0,0
168,4.0,0
169,5.0,0
170,2.0,0
171,4.0,0
172,4.0,0
173,4.0,0
174,0.0,0
175,2.0,0
176,0.0,0
177,2.0,0
178,3.0,0
179,2.0,0
180,2.0,0
181,2.0,0
182,-2.0,0
183,3.0,0
184,2.0,0
185,0.0,0
186,2.0,0
187,2.0,0
188,2.0,0
189,2.0,0
190,4.0,0
191,4.0,0
192,4.0,0
193,2.0,0
194,0.0,0
195,2.0,0
196,1.0,0
197,4.0,0
198,4.0,0
199,3.0,0
200,0.0,0
201,0.0,0
202,2.0,0
203,4.0,0
204,2.0,0
205,6.0,0
206,0.0,0
207,4.0,0
208,5.0,0
209,5.0,0
210,2.0,0
211,0.0,0
212,0.0,0
213,0.0,0
214,6.0,0
215,0.0,0
216,0.0,0
217,6.0,0
218,0.0,0
219,4.0,0
220,2.0,0
221,4.0,0
222,2.0,0
223,4.0,0
224,4.0,0
225,2.0,0
226,2.0,0
227,5.0,0
228,1.0,0
229,0.0,0
230,1.0,0
231,0.0,0
232,3.0,0
233,2.0,0
234,4.0,0
235,1.0,0
236,4.0,0
237,6.0,0
238,6.0,0
239,3.0,0
240,4.0,0
241,-2.0,0
242,4.0,0
243,6.0,0
244,6.0,0
245,0.0,0
246,7.0,0
247,3.0,0
248,2.0,0
249,1.0,0
250,0.0,0
251,2.0,0
252,4.0,0
253,6.0,0
254,4.0,0
255,3.0,0
256,1.0,0
257,0.0,0
258,1.0,0
259,0.0,0
260,2.0,0
261,-2.0,0
262,0.0,0
263,4.0,0
264,2.0,0
265,1.0,0
266,2.0,0
267,4.0,0
268,2.0,0
269,6.0,0
270,2.0,0
271,6.0,0
272,1.0,0
273,2.0,0
274,1.0,0
275,6.0,0
276,4.0,0
277,3.0,0
278,1.0,0
279,6.0,0
280,3.0,0
281,2.0,0
282,0.0,0
283,1.0,0
284,2.0,0
285,2.0,0
286,0.0,0
287,0.0,0
288,4.0,0
289,6.0,0
290,4.0,0
291,0.0,0
292,0.0,0
293,1.0,0
294,2.0,0
295,0.0,0
296,0.0,0
297,2.0,0
298,3.0,0
299,2.0,0
300,4.0,0
301,0.0,0
302,2.0,0
303,2.0,0
304,1.0,0
305,2.0,0
306,6.0,0
307,1.0,0
308,0.0,0
309,0.0,0
310,5.0,0
311,0.0,0
312,2.0,0
313,2.0,0
314,0.0,0
315,6.0,0
316,2.0,0
317,4.0,0
318,3.0,0
319,7.0,0
320,2.0,0
321,4.0,0
322,0.0,0
323,4.0,0
324,4.0,0
325,1.0,0
326,2.0,0
327,5.0,0
328,1.0,0
329,7.0,0
330,0.0,0
331,-2.0,0
332,4.0,0
333,3.0,0
334,0.0,0
335,4.0,0
336,2.0,0
337,4.0,0
338,4.0,0
339,3.0,0
340,4.0,0
341,0.0,0
342,1.0,0
343,3.0,0
344,4.0,0
345,6.0,0
346,0.0,0
347,4.0,0
348,3.0,0
349,3.0,0
350,2.0,0
351,4.0,0
352,2.0,0
353,7.0,0
354,2.0,0
355,0.0,0
356,4.0,0
357,2.0,0
358,2.0,0
359,4.0,0
360,4.0,0
361,1.0,0
362,1.0,0
363,2.0,0
364,2.0,0
365,4.0,0
366,0.0,0
367,0.0,0
368,0.0,0
369,1.0,0
370,1.0,0
371,7.0,0
372,3.0,0
373,3.0,0
374,2.0,0
375,4.0,0
376,6.0,0
377,6.0,0
378,0.0,0
379,0.0,0
380,3.0,0
381,7.0,0
382,0.0,0
383,0.0,0
384,7.0,0
385,4.0,0
386,4.0,0
387,2.0,0
388,2.0,0
389,5.0,0
390,0.0,0
391,2.0,0
392,0.0,0
393,2.0,0
394,4.0,0
395,0.0,0
396,0.0,0
397,6.0,0
398,3.0,0
399,3.0,0
400,7.0,0
401,3.0,0
402,2.0,0
403,5.0,0
404,4.0,0
405,0.0,0
406,2.0,0
407,6.0,0
408,4.0,0
409,3.0,0
410,2.0,0
411,4.0,0
412,2.0,0
413,1.0,0
414,0.0,0
415,1.0,0
416,4.0,0
417,5.0,0
418,1.0,0
419,6.0,0
420,4.0,0
421,0.0,0
422,4.0,0
423,0.0,0
424,3.0,0
425,2.0,0
426,2.0,0
427,2.0,0
428,1.0,0
429,0.0,0
430,4.0,0
431,4.0,0
432,0.0,0
433,0.0,0
434,4.0,0
435,6.0,0
436,4.0,0
437,1.0,0
438,4.0,0
439,2.0,0
440,3.0,0
441,2.0,0
442,0.0,0
443,4.0,0
444,2.0,0
445,2.0,0
446,0.0,0
447,2.0,0
448,2.0,0
449,1.0,0
450,6.0,0
451,2.0,0
452,0.0,0
453,1.0,0
454,0.0,0
455,2.0,0
456,5.0,0
457,5.0,0
458,0.0,0
459,4.0,0
460,2.0,0
461,4.0,0
462,0.0,0
463,4.0,0
464,4.0,0
465,5.0,0
466,4.0,0
467,4.0,0
468,0.0,0
469,0.0,0
470,2.0,0
471,4.0,0
472,1.0,0
473,1.0,0
474,2.0,0
475,4.0,0
476,0.0,0
477,1.0,0
478,3.0,0
479,0.0,0
480,4.0,0
481,7.0,0
482,0.0,0
483,1.0,0
484,4.0,0
485,3.0,0
486,4.0,0
487,2.0,0
488,2.0,0
489,2.0,0
490,2.0,0
491,5.0,0
492,2.0,0
493,2.0,0
494,0.0,0
495,2.0,0
496,4.0,0
497,3.0,0
498,2.0,0
499,0.0,0
500,6.0,0
501,2.0,0
502,3.0,0
503,2.0,0
504,4.0,0
505,3.0,0
506,0.0,0
507,0.0,0
508,6.0,0
509,4.0,0
510,3.0,0
511,2.0,0
512,6.0,0
513,0.0,0
514,2.0,0
515,4.0,0
516,0.0,0
517,2.0,0
518,2.0,0
519,4.0,0
520,2.0,0
521,0.0,0
522,3.0,0
523,1.0,0
524,3.0,0
525,6.0,0
526,6.0,0
527,3.0,0
528,2.0,0
529,4.0,0
530,4.0,0
531,2.0,0
532,3.0,0
533,3.0,0
534,2.0,0
535,0.0,0
536,4.0,0
537,7.0,0
538,2.0,0
539,4.0,0
540,1.0,0
541,4.0,0
542,2.0,0
543,0.0,0
544,2.0,0
545,2.0,0
546,4.0,0
547,2.0,0
548,1.0,0
549,0.0,0
550,7.0,0
551,0.0,0
552,0.0,0
553,4.0,0
554,3.0,0
555,0.0,0
556,3.0,0
557,1.0,0
558,0.0,0
559,4.0,0
560,2.0,0
561,2.0,0
562,4.0,0
563,5.0,0
564,1.0,0
565,0.0,0
566,-2.0,0
567,2.0,0
568,2.0,0
569,2.0,0
570,4.0,0
571,4.0,0
572,3.0,0
573,4.0,0
574,0.0,0
575,0.0,0
576,2.0,0
577,2.0,0
578,1.0,0
579,0.0,0
580,0.0,0
581,2.0,0
582,-2.0,0
583,0.0,0
584,3.0,0
585,3.0,0
586,0.0,0
587,2.0,0
588,4.0,0
589,2.0,0
590,0.0,0
591,2.0,0
592,2.0,0
593,3.0,0
594,2.0,0
595,4.0,0
596,3.0,0
597,2.0,0
598,2.0,0
599,0.0,0
600,3.0,0
601,4.0,0
602,4.0,0
603,0.0,0
604,3.0,0
605,4.0,0
606,2.0,0
607,6.0,0
608,4.0,0
609,4.0,0
610,2.0,0
611,0.0,0
612,4.0,0
613,3.0,0
614,2.0,0
615,0.0,0
616,1.0,0
617,2.0,0
618,3.0,0
619,1.0,0
620,2.0,0
621,2.0,0
622,3.0,0
623,3.0,0
624,0.0,0
625,4.0,0
626,1.0,0
627,3.0,0
628,3.0,0
629,1.0,0
630,1.0,0
631,2.0,0
632,2.0,0
633,2.0,0
634,6.0,0
635,0.0,0
636,2.0,0
637,2.0,0
638,0.0,0
639,1.0,0
640,4.0,0
641,4.0,0
642,0.0,0
643,1.0,0
644,2.0,0
645,-2.0,0
646,0.0,0
647,2.0,0
648,4.0,0
649,0.0,0
650,0.0,0
651,3.0,0
652,3.0,0
653,3.0,0
654,4.0,0
655,3.0,0
656,6.0,0
657,2.0,0
658,4.0,0
659,0.0,0
660,1.0,0
661,0.0,0
662,6.0,0
663,1.0,0
664,-2.0,0
665,4.0,0
666,0.0,0
667,0.0,0
668,4.0,0
669,1.0,0
670,2.0,0
671,6.0,0
672,0.0,0
673,6.0,0
674,2.0,0
675,6.0,0
676,7.0,0
677,2.0,0
678,4.0,0
679,4.0,0
680,2.0,0
681,2.0,0
682,1.0,0
683,0.0,0
684,3.0,0
685,4.0,0
686,2.0,0
687,1.0,0
688,3.0,0
689,1.0,0
690,-2.0,0
