,random Return Against random,Order
0,0,0
1,3.0,0
2,2.0,0
3,2.0,0
4,4.0,0
5,2.0,0
6,0,0
7,0,0
8,1.0,0
9,1.0,0
10,2.0,0
11,2.0,0
12,-2.0,0
13,4.0,0
14,2.0,0
15,0,0
16,0,0
17,1.0,0
18,-2.0,0
19,-4.0,0
20,3.0,0
21,4.0,0
22,2.0,0
23,3.0,0
24,4.0,0
25,0,0
26,1.0,0
27,6.0,0
28,2.0,0
29,4.0,0
30,2.0,0
31,2.0,0
32,4.0,0
33,0,0
34,-4.0,0
35,4.0,0
36,0,0
37,2.0,0
38,0,0
39,-2.0,0
40,1.0,0
41,3.0,0
42,0,0
43,0,0
44,-4.0,0
45,2.0,0
46,1.0,0
47,2.0,0
48,2.0,0
49,3.0,0
50,2.0,0
51,3.0,0
52,1.0,0
53,4.0,0
54,3.0,0
55,2.0,0
56,0,0
57,2.0,0
58,-2.0,0
59,2.0,0
60,1.0,0
61,3.0,0
62,1.0,0
63,-4.0,0
64,3.0,0
65,0,0
66,4.0,0
67,4.0,0
68,0,0
69,2.0,0
70,0,0
71,1.0,0
72,2.0,0
73,2.0,0
74,3.0,0
75,4.0,0
76,6.0,0
77,2.0,0
78,2.0,0
79,0,0
80,4.0,0
81,3.0,0
82,0,0
83,2.0,0
84,5.0,0
85,0,0
86,4.0,0
87,2.0,0
88,3.0,0
89,0,0
90,5.0,0
91,4.0,0
92,2.0,0
93,6.0,0
94,2.0,0
95,2.0,0
96,1.0,0
97,4.0,0
98,4.0,0
99,2.0,0
100,4.0,0
101,4.0,0
102,-4.0,0
103,2.0,0
104,2.0,0
105,4.0,0
106,6.0,0
107,1.0,0
108,3.0,0
109,4.0,0
110,2.0,0
111,1.0,0
112,5.0,0
113,-2.0,0
114,-2.0,0
115,3.0,0
116,0,0
117,4.0,0
118,1.0,0
119,2.0,0
120,0,0
121,2.0,0
122,0,0
123,0,0
124,2.0,0
125,-4.0,0
126,2.0,0
127,0,0
128,2.0,0
129,4.0,0
130,2.0,0
131,1.0,0
132,-2.0,0
133,1.0,0
134,0,0
135,2.0,0
136,4.0,0
137,0,0
138,4.0,0
139,1.0,0
140,0,0
141,2.0,0
142,6.0,0
143,4.0,0
144,3.0,0
145,0,0
146,1.0,0
147,3.0,0
148,3.0,0
149,0,0
150,4.0,0
151,4.0,0
152,3.0,0
153,2.0,0
154,2.0,0
155,2.0,0
156,5.0,0
157,4.0,0
158,1.0,0
159,4.0,0
160,4.0,0
161,2.0,0
162,6.0,0
163,6.0,0
164,6.0,0
165,0,0
166,4.0,0
167,-2.0,0
168,-4.0,0
169,-2.0,0
170,4.0,0
171,4.0,0
172,2.0,0
173,0,0
174,4.0,0
175,2.0,0
176,3.0,0
177,-4.0,0
178,-2.0,0
179,4.0,0
180,0,0
181,3.0,0
182,4.0,0
183,2.0,0
184,4.0,0
185,0,0
186,3.0,0
187,2.0,0
188,6.0,0
189,1.0,0
190,3.0,0
191,0,0
192,4.0,0
193,0,0
194,6.0,0
195,0,0
196,3.0,0
197,-4.0,0
198,5.0,0
199,2.0,0
200,-4.0,0
201,4.0,0
202,-2.0,0
203,0,0
204,-2.0,0
205,4.0,0
206,4.0,0
207,-4.0,0
208,2.0,0
209,2.0,0
210,-2.0,0
211,0,0
212,4.0,0
213,-4.0,0
214,4.0,0
215,-2.0,0
216,3.0,0
217,5.0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,7.0,0
223,0,0
224,2.0,0
225,-2.0,0
226,1.0,0
227,-4.0,0
228,3.0,0
229,-2.0,0
230,4.0,0
231,3.0,0
232,2.0,0
233,-4.0,0
234,-4.0,0
235,2.0,0
236,0,0
237,2.0,0
238,3.0,0
239,4.0,0
240,3.0,0
241,-4.0,0
242,3.0,0
243,2.0,0
244,2.0,0
245,0,0
246,1.0,0
247,0,0
248,2.0,0
249,0,0
250,4.0,0
251,2.0,0
252,-4.0,0
253,5.0,0
254,0,0
255,0,0
256,-2.0,0
257,2.0,0
258,1.0,0
259,4.0,0
260,0,0
261,2.0,0
