,Iteration,Exploitability
0,10000,0.3333333333333333
1,20000,0.16666666666666666
2,30000,0.16666666666666663
3,40000,0.25
4,50000,0.16666666666666669
5,60000,0.33333333333333337
6,70000,0.25
7,80000,0.3333333333333333
8,90000,0.16666666666666663
9,100000,0.16666666666666669
10,110000,0.33333333333333337
11,120000,0.25
12,130000,0.33333333333333337
13,140000,0.25
14,150000,0.41666666666666663
15,160000,0.25
16,170000,0.25
17,180000,0.4166666666666667
18,190000,0.25
19,200000,0.25
20,210000,0.16666666666666666
21,220000,0.25
22,230000,0.33333333333333337
23,240000,0.25
24,250000,0.16666666666666669
25,260000,0.16666666666666669
26,270000,0.3333333333333333
27,280000,0.41666666666666663
28,290000,0.16666666666666666
