,cfr Return Against mmd,Order
0,4.0,0
1,2.0,0
2,0.0,0
3,3.0,0
4,2.0,0
5,-2.0,0
6,4.0,0
7,-2.0,0
8,0.0,0
9,3.0,0
10,4.0,0
11,0.0,0
12,1.0,0
13,0.0,0
14,2.0,0
15,2.0,0
16,4.0,0
17,2.0,0
18,4.0,0
19,3.0,0
20,6.0,0
21,-2.0,0
22,2.0,0
23,1.0,0
24,3.0,0
25,-2.0,0
26,3.0,0
27,4.0,0
28,0.0,0
29,4.0,0
30,2.0,0
31,2.0,0
32,2.0,0
33,4.0,0
34,4.0,0
35,1.0,0
36,4.0,0
37,6.0,0
38,1.0,0
39,0.0,0
40,4.0,0
41,1.0,0
42,2.0,0
43,4.0,0
44,0.0,0
45,1.0,0
46,2.0,0
47,4.0,0
48,3.0,0
49,0.0,0
50,2.0,0
51,0.0,0
52,0.0,0
53,2.0,0
54,2.0,0
55,2.0,0
56,2.0,0
57,-2.0,0
58,4.0,0
59,3.0,0
60,2.0,0
61,4.0,0
62,2.0,0
63,4.0,0
64,7.0,0
65,4.0,0
66,1.0,0
67,0.0,0
68,6.0,0
69,1.0,0
70,0.0,0
71,0.0,0
72,1.0,0
73,2.0,0
74,4.0,0
75,0.0,0
76,2.0,0
77,0.0,0
78,6.0,0
79,0.0,0
80,3.0,0
81,2.0,0
82,6.0,0
83,0.0,0
84,2.0,0
85,1.0,0
86,2.0,0
87,0.0,0
88,0.0,0
89,4.0,0
90,4.0,0
91,6.0,0
92,4.0,0
93,0.0,0
94,4.0,0
95,0.0,0
96,2.0,0
97,1.0,0
98,2.0,0
99,0.0,0
100,2.0,0
101,0.0,0
102,0.0,0
103,2.0,0
104,3.0,0
105,0.0,0
106,6.0,0
107,6.0,0
108,4.0,0
109,2.0,0
110,4.0,0
111,2.0,0
112,0.0,0
113,2.0,0
114,1.0,0
115,0.0,0
116,4.0,0
117,2.0,0
118,2.0,0
119,3.0,0
120,6.0,0
121,7.0,0
122,4.0,0
123,4.0,0
124,2.0,0
125,2.0,0
126,4.0,0
127,2.0,0
128,2.0,0
129,2.0,0
130,2.0,0
131,2.0,0
132,4.0,0
133,2.0,0
134,4.0,0
135,2.0,0
136,1.0,0
137,1.0,0
138,2.0,0
139,4.0,0
140,4.0,0
141,0.0,0
142,1.0,0
143,4.0,0
144,0.0,0
145,0.0,0
146,1.0,0
147,1.0,0
148,2.0,0
