,cfrplus Return Against qlearner,Order
0,2.0,0
1,7.0,0
2,2.0,0
3,0.0,0
4,4.0,0
5,4.0,0
6,0.0,0
7,4.0,0
8,4.0,0
9,1.0,0
10,7.0,0
11,1.0,0
12,0.0,0
13,4.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,2.0,0
18,2.0,0
19,3.0,0
20,2.0,0
21,2.0,0
22,4.0,0
23,0.0,0
24,3.0,0
25,4.0,0
26,0.0,0
27,2.0,0
28,2.0,0
29,6.0,0
30,4.0,0
31,2.0,0
32,4.0,0
33,4.0,0
34,2.0,0
35,0.0,0
36,0.0,0
37,1.0,0
38,0.0,0
39,1.0,0
40,3.0,0
41,7.0,0
42,4.0,0
43,2.0,0
44,3.0,0
45,2.0,0
46,3.0,0
47,2.0,0
48,0.0,0
49,1.0,0
50,1.0,0
51,0.0,0
52,4.0,0
53,1.0,0
54,4.0,0
55,6.0,0
56,7.0,0
57,4.0,0
58,0.0,0
59,7.0,0
60,2.0,0
61,7.0,0
62,4.0,0
63,0.0,0
64,2.0,0
65,4.0,0
66,1.0,0
67,3.0,0
68,6.0,0
69,2.0,0
70,4.0,0
71,0.0,0
72,0.0,0
73,1.0,0
74,4.0,0
75,0.0,0
76,2.0,0
77,0.0,0
78,2.0,0
79,3.0,0
80,4.0,0
81,2.0,0
82,6.0,0
83,1.0,0
84,7.0,0
85,6.0,0
86,0.0,0
87,1.0,0
88,4.0,0
89,2.0,0
90,2.0,0
91,2.0,0
92,-2.0,0
93,3.0,0
94,2.0,0
95,4.0,0
96,0.0,0
97,1.0,0
98,0.0,0
99,2.0,0
100,1.0,0
101,2.0,0
102,0.0,0
103,1.0,0
104,2.0,0
105,1.0,0
106,2.0,0
107,-2.0,0
108,-2.0,0
109,6.0,0
110,6.0,0
111,4.0,0
112,1.0,0
113,3.0,0
114,4.0,0
115,4.0,0
116,2.0,0
117,4.0,0
118,2.0,0
119,0.0,0
120,1.0,0
121,2.0,0
122,0.0,0
123,6.0,0
124,4.0,0
125,2.0,0
126,2.0,0
127,2.0,0
128,0.0,0
129,0.0,0
130,4.0,0
131,4.0,0
132,-2.0,0
133,4.0,0
134,6.0,0
135,2.0,0
136,4.0,0
137,0.0,0
138,2.0,0
139,1.0,0
140,0.0,0
141,0.0,0
142,4.0,0
143,4.0,0
144,1.0,0
145,2.0,0
146,2.0,0
147,6.0,0
148,4.0,0
149,7.0,0
150,0.0,0
151,2.0,0
152,5.0,0
153,0.0,0
154,2.0,0
155,4.0,0
156,2.0,0
157,3.0,0
158,0.0,0
159,0.0,0
160,2.0,0
161,4.0,0
162,2.0,0
163,5.0,0
164,2.0,0
165,0.0,0
166,0.0,0
167,4.0,0
168,0.0,0
169,-2.0,0
170,0.0,0
171,4.0,0
172,4.0,0
173,2.0,0
174,4.0,0
175,6.0,0
176,0.0,0
177,4.0,0
178,0.0,0
179,2.0,0
180,0.0,0
181,1.0,0
182,6.0,0
183,2.0,0
184,4.0,0
185,0.0,0
186,3.0,0
187,1.0,0
188,2.0,0
189,6.0,0
190,0.0,0
191,4.0,0
192,0.0,0
193,4.0,0
194,0.0,0
195,2.0,0
196,0.0,0
197,4.0,0
198,0.0,0
199,2.0,0
200,4.0,0
201,6.0,0
202,0.0,0
203,2.0,0
204,4.0,0
205,2.0,0
206,4.0,0
207,0.0,0
208,5.0,0
209,2.0,0
210,2.0,0
211,4.0,0
212,-2.0,0
213,3.0,0
214,6.0,0
215,4.0,0
216,0.0,0
217,4.0,0
218,0.0,0
219,6.0,0
220,7.0,0
221,1.0,0
222,6.0,0
223,0.0,0
224,2.0,0
225,0.0,0
226,2.0,0
227,0.0,0
228,3.0,0
229,4.0,0
230,-2.0,0
231,1.0,0
232,2.0,0
233,0.0,0
234,4.0,0
235,0.0,0
236,4.0,0
237,2.0,0
238,2.0,0
239,2.0,0
240,0.0,0
241,0.0,0
242,0.0,0
243,0.0,0
244,4.0,0
245,6.0,0
246,0.0,0
247,4.0,0
248,4.0,0
249,3.0,0
250,0.0,0
251,6.0,0
252,0.0,0
253,6.0,0
254,0.0,0
255,0.0,0
256,2.0,0
257,4.0,0
258,3.0,0
259,4.0,0
260,5.0,0
261,6.0,0
