,mmd Return Against random,Order
0,4.0,0
1,2.0,0
2,0.0,0
3,2.0,0
4,4.0,0
5,0.0,0
6,6.0,0
7,1.0,0
8,1.0,0
9,2.0,0
10,4.0,0
11,2.0,0
12,5.0,0
13,2.0,0
14,0.0,0
15,1.0,0
16,4.0,0
17,-2.0,0
18,1.0,0
19,2.0,0
20,-2.0,0
21,0.0,0
22,2.0,0
23,0.0,0
24,4.0,0
25,4.0,0
26,3.0,0
27,2.0,0
28,1.0,0
29,3.0,0
30,0.0,0
31,4.0,0
32,3.0,0
33,4.0,0
34,3.0,0
35,3.0,0
36,2.0,0
37,4.0,0
38,5.0,0
39,3.0,0
40,0.0,0
41,0.0,0
42,3.0,0
43,0.0,0
44,1.0,0
45,2.0,0
46,1.0,0
47,1.0,0
48,2.0,0
49,1.0,0
50,3.0,0
51,4.0,0
52,3.0,0
53,4.0,0
54,2.0,0
55,2.0,0
56,3.0,0
57,2.0,0
58,-2.0,0
59,2.0,0
60,3.0,0
61,2.0,0
62,2.0,0
63,-2.0,0
64,2.0,0
65,3.0,0
66,0.0,0
67,4.0,0
68,2.0,0
69,7.0,0
70,6.0,0
71,1.0,0
72,2.0,0
73,2.0,0
74,2.0,0
75,2.0,0
76,0.0,0
77,4.0,0
78,0.0,0
79,4.0,0
80,2.0,0
81,4.0,0
82,0.0,0
83,-2.0,0
84,2.0,0
85,0.0,0
86,2.0,0
87,2.0,0
88,0.0,0
89,1.0,0
90,3.0,0
91,0.0,0
92,2.0,0
93,3.0,0
94,0.0,0
95,2.0,0
96,0.0,0
97,0.0,0
98,2.0,0
99,0.0,0
100,2.0,0
101,0.0,0
102,2.0,0
103,3.0,0
104,2.0,0
105,4.0,0
106,0.0,0
107,2.0,0
108,4.0,0
109,3.0,0
110,-4.0,0
111,2.0,0
112,2.0,0
113,2.0,0
114,3.0,0
115,4.0,0
116,0.0,0
117,2.0,0
118,0.0,0
119,0.0,0
120,0.0,0
121,4.0,0
122,-2.0,0
123,2.0,0
124,4.0,0
125,4.0,0
126,2.0,0
127,5.0,0
128,0.0,0
129,4.0,0
130,3.0,0
131,4.0,0
132,4.0,0
133,0.0,0
134,3.0,0
135,3.0,0
136,4.0,0
137,2.0,0
138,-4.0,0
139,-2.0,0
140,2.0,0
141,2.0,0
142,-4.0,0
143,3.0,0
144,2.0,0
145,3.0,0
146,-4.0,0
147,2.0,0
