,qlearner Return Against cfrplus,Order
0,2.0,0
1,0.0,0
2,4.0,0
3,1.0,0
4,6.0,0
5,3.0,0
6,6.0,0
7,2.0,0
8,4.0,0
9,0.0,0
10,2.0,0
11,0.0,0
12,0.0,0
13,2.0,0
14,2.0,0
15,4.0,0
16,5.0,0
17,6.0,0
18,4.0,0
19,1.0,0
20,4.0,0
21,2.0,0
22,2.0,0
23,2.0,0
24,1.0,0
25,3.0,0
26,1.0,0
27,4.0,0
28,0.0,0
29,0.0,0
30,2.0,0
31,4.0,0
32,6.0,0
33,2.0,0
34,2.0,0
35,0.0,0
36,4.0,0
37,1.0,0
38,3.0,0
39,2.0,0
40,4.0,0
41,7.0,0
42,0.0,0
43,2.0,0
44,4.0,0
45,7.0,0
46,0.0,0
47,2.0,0
48,4.0,0
49,0.0,0
50,-2.0,0
51,2.0,0
52,1.0,0
53,0.0,0
54,2.0,0
55,2.0,0
56,1.0,0
57,2.0,0
58,1.0,0
59,2.0,0
60,7.0,0
61,1.0,0
62,0.0,0
63,-2.0,0
64,2.0,0
65,3.0,0
66,2.0,0
67,3.0,0
68,0.0,0
69,4.0,0
70,1.0,0
71,0.0,0
72,2.0,0
73,2.0,0
74,1.0,0
75,4.0,0
76,0.0,0
77,2.0,0
78,0.0,0
79,2.0,0
80,7.0,0
81,2.0,0
82,4.0,0
83,2.0,0
84,3.0,0
85,2.0,0
86,5.0,0
87,0.0,0
88,2.0,0
89,0.0,0
90,2.0,0
91,1.0,0
92,1.0,0
93,7.0,0
94,2.0,0
95,-2.0,0
96,0.0,0
97,2.0,0
98,4.0,0
99,-2.0,0
100,1.0,0
101,1.0,0
102,3.0,0
103,0.0,0
104,2.0,0
105,-2.0,0
106,1.0,0
107,0.0,0
108,4.0,0
109,4.0,0
110,0.0,0
111,2.0,0
112,-2.0,0
113,7.0,0
114,0.0,0
115,1.0,0
116,2.0,0
117,3.0,0
118,3.0,0
119,4.0,0
120,1.0,0
121,1.0,0
122,0.0,0
123,2.0,0
124,1.0,0
125,0.0,0
126,4.0,0
127,4.0,0
128,4.0,0
129,4.0,0
130,0.0,0
131,6.0,0
132,0.0,0
133,3.0,0
134,0.0,0
135,3.0,0
136,0.0,0
137,0.0,0
138,2.0,0
139,2.0,0
140,1.0,0
141,6.0,0
142,6.0,0
143,1.0,0
144,1.0,0
145,0.0,0
146,3.0,0
147,3.0,0
148,0.0,0
149,4.0,0
150,0.0,0
151,7.0,0
152,2.0,0
153,2.0,0
154,2.0,0
155,2.0,0
156,1.0,0
157,4.0,0
158,0.0,0
159,7.0,0
160,4.0,0
161,0.0,0
162,4.0,0
163,2.0,0
164,6.0,0
165,1.0,0
166,6.0,0
167,2.0,0
168,2.0,0
169,6.0,0
170,0.0,0
171,2.0,0
172,1.0,0
173,4.0,0
174,-2.0,0
175,3.0,0
176,0.0,0
177,3.0,0
178,0.0,0
179,7.0,0
180,4.0,0
181,0.0,0
182,0.0,0
183,0.0,0
184,4.0,0
185,0.0,0
186,2.0,0
187,2.0,0
188,1.0,0
189,4.0,0
190,0.0,0
191,4.0,0
192,4.0,0
193,0.0,0
194,0.0,0
195,2.0,0
196,2.0,0
197,0.0,0
198,-2.0,0
199,0.0,0
200,2.0,0
201,1.0,0
202,0.0,0
203,3.0,0
204,0.0,0
205,2.0,0
206,0.0,0
207,2.0,0
208,2.0,0
209,2.0,0
210,1.0,0
211,3.0,0
212,3.0,0
213,6.0,0
214,4.0,0
215,2.0,0
216,2.0,0
217,4.0,0
218,2.0,0
219,4.0,0
220,2.0,0
221,0.0,0
222,0.0,0
223,4.0,0
224,6.0,0
225,7.0,0
226,0.0,0
227,0.0,0
228,0.0,0
229,1.0,0
230,2.0,0
231,0.0,0
232,1.0,0
233,3.0,0
234,1.0,0
235,2.0,0
236,0.0,0
237,0.0,0
238,3.0,0
239,4.0,0
240,0.0,0
241,0.0,0
242,0.0,0
243,0.0,0
244,-2.0,0
245,2.0,0
246,1.0,0
247,1.0,0
248,0.0,0
249,1.0,0
250,0.0,0
251,2.0,0
252,4.0,0
253,4.0,0
254,2.0,0
255,0.0,0
256,5.0,0
257,2.0,0
258,3.0,0
259,0.0,0
260,1.0,0
261,0.0,0
262,2.0,0
263,0.0,0
264,2.0,0
265,2.0,0
266,4.0,0
267,7.0,0
268,2.0,0
269,4.0,0
270,0.0,0
271,2.0,0
272,0.0,0
273,2.0,0
274,6.0,0
275,0.0,0
276,0.0,0
277,2.0,0
278,0.0,0
279,0.0,0
280,0.0,0
281,6.0,0
282,5.0,0
283,4.0,0
284,-2.0,0
285,4.0,0
286,0.0,0
287,4.0,0
288,0.0,0
289,1.0,0
290,0.0,0
291,2.0,0
292,5.0,0
293,1.0,0
294,7.0,0
295,6.0,0
296,0.0,0
297,0.0,0
298,4.0,0
299,4.0,0
300,4.0,0
301,7.0,0
302,4.0,0
303,2.0,0
304,4.0,0
305,0.0,0
306,4.0,0
307,0.0,0
308,4.0,0
309,0.0,0
310,0.0,0
311,4.0,0
312,4.0,0
313,4.0,0
314,0.0,0
315,2.0,0
316,1.0,0
317,4.0,0
318,0.0,0
319,-2.0,0
320,4.0,0
321,-2.0,0
322,0.0,0
323,5.0,0
324,0.0,0
325,2.0,0
326,0.0,0
327,2.0,0
328,-2.0,0
329,4.0,0
330,3.0,0
331,4.0,0
332,2.0,0
333,2.0,0
334,2.0,0
335,0.0,0
336,2.0,0
337,2.0,0
338,2.0,0
339,4.0,0
340,4.0,0
341,2.0,0
342,4.0,0
343,4.0,0
344,2.0,0
345,1.0,0
346,1.0,0
347,-2.0,0
348,6.0,0
349,0.0,0
350,0.0,0
351,4.0,0
352,0.0,0
353,2.0,0
354,-2.0,0
355,1.0,0
356,4.0,0
357,1.0,0
358,7.0,0
359,0.0,0
360,2.0,0
361,2.0,0
362,1.0,0
363,7.0,0
364,0.0,0
365,3.0,0
366,1.0,0
367,2.0,0
368,-2.0,0
369,4.0,0
370,0.0,0
371,1.0,0
372,3.0,0
373,0.0,0
374,4.0,0
375,0.0,0
376,4.0,0
377,6.0,0
378,-2.0,0
379,0.0,0
380,3.0,0
381,0.0,0
382,2.0,0
383,-2.0,0
384,4.0,0
385,0.0,0
386,0.0,0
387,6.0,0
388,4.0,0
389,3.0,0
390,1.0,0
391,0.0,0
392,3.0,0
393,2.0,0
394,2.0,0
395,1.0,0
396,2.0,0
397,0.0,0
398,-2.0,0
399,7.0,0
400,0.0,0
401,0.0,0
402,4.0,0
403,4.0,0
404,2.0,0
405,3.0,0
406,0.0,0
407,0.0,0
408,2.0,0
409,4.0,0
410,2.0,0
411,0.0,0
412,1.0,0
413,2.0,0
414,4.0,0
415,1.0,0
416,7.0,0
417,2.0,0
418,4.0,0
419,3.0,0
420,0.0,0
421,0.0,0
422,2.0,0
423,1.0,0
424,0.0,0
425,3.0,0
426,6.0,0
427,6.0,0
428,0.0,0
429,2.0,0
430,4.0,0
431,4.0,0
432,2.0,0
433,0.0,0
434,2.0,0
435,2.0,0
436,1.0,0
437,0.0,0
438,0.0,0
439,6.0,0
440,0.0,0
441,4.0,0
442,-2.0,0
443,4.0,0
444,3.0,0
445,4.0,0
446,-2.0,0
447,1.0,0
448,1.0,0
449,1.0,0
450,4.0,0
451,0.0,0
452,5.0,0
453,4.0,0
454,-2.0,0
455,1.0,0
456,4.0,0
457,0.0,0
458,1.0,0
459,6.0,0
460,6.0,0
461,2.0,0
462,0.0,0
463,2.0,0
464,2.0,0
465,4.0,0
466,1.0,0
467,2.0,0
468,2.0,0
469,0.0,0
470,0.0,0
471,-2.0,0
472,6.0,0
473,1.0,0
474,4.0,0
475,0.0,0
476,0.0,0
477,0.0,0
478,0.0,0
479,1.0,0
480,0.0,0
481,-2.0,0
482,4.0,0
483,0.0,0
484,0.0,0
485,4.0,0
486,2.0,0
487,4.0,0
488,2.0,0
489,2.0,0
490,2.0,0
491,1.0,0
492,3.0,0
493,2.0,0
494,2.0,0
495,-2.0,0
496,0.0,0
497,4.0,0
498,0.0,0
499,-2.0,0
500,4.0,0
501,2.0,0
502,5.0,0
503,6.0,0
504,2.0,0
505,0.0,0
506,3.0,0
507,4.0,0
508,0.0,0
509,6.0,0
510,2.0,0
511,4.0,0
512,0.0,0
513,1.0,0
514,4.0,0
515,2.0,0
516,2.0,0
517,4.0,0
518,-2.0,0
519,2.0,0
520,2.0,0
521,0.0,0
522,0.0,0
523,4.0,0
524,4.0,0
525,2.0,0
526,1.0,0
527,4.0,0
528,0.0,0
529,4.0,0
530,1.0,0
531,4.0,0
532,0.0,0
533,0.0,0
534,-2.0,0
535,6.0,0
536,6.0,0
537,1.0,0
538,2.0,0
539,3.0,0
540,2.0,0
541,2.0,0
542,4.0,0
543,2.0,0
544,2.0,0
545,3.0,0
546,4.0,0
547,0.0,0
548,4.0,0
549,2.0,0
550,6.0,0
551,4.0,0
552,6.0,0
553,1.0,0
554,2.0,0
555,1.0,0
556,2.0,0
557,4.0,0
558,3.0,0
559,2.0,0
560,0.0,0
561,2.0,0
562,4.0,0
563,2.0,0
564,0.0,0
565,7.0,0
566,4.0,0
567,6.0,0
568,3.0,0
569,0.0,0
570,0.0,0
571,0.0,0
572,4.0,0
573,1.0,0
574,1.0,0
575,4.0,0
576,1.0,0
577,4.0,0
578,-2.0,0
579,6.0,0
580,6.0,0
581,-2.0,0
582,0.0,0
583,2.0,0
584,1.0,0
585,0.0,0
586,2.0,0
587,2.0,0
588,0.0,0
589,0.0,0
590,6.0,0
591,2.0,0
592,-2.0,0
593,2.0,0
594,4.0,0
595,6.0,0
596,1.0,0
597,0.0,0
598,2.0,0
599,4.0,0
600,2.0,0
601,3.0,0
602,2.0,0
603,3.0,0
604,4.0,0
605,6.0,0
606,2.0,0
607,4.0,0
608,4.0,0
609,7.0,0
610,0.0,0
611,-2.0,0
612,0.0,0
613,0.0,0
614,-2.0,0
615,6.0,0
616,2.0,0
617,6.0,0
618,4.0,0
619,0.0,0
620,0.0,0
621,0.0,0
622,3.0,0
623,2.0,0
624,2.0,0
625,2.0,0
626,0.0,0
627,1.0,0
628,4.0,0
629,0.0,0
630,1.0,0
631,4.0,0
632,2.0,0
633,2.0,0
634,4.0,0
635,4.0,0
636,4.0,0
637,2.0,0
638,3.0,0
639,2.0,0
640,0.0,0
641,7.0,0
642,4.0,0
643,2.0,0
644,2.0,0
645,4.0,0
646,4.0,0
647,5.0,0
648,-2.0,0
649,7.0,0
650,0.0,0
651,3.0,0
652,1.0,0
653,4.0,0
654,2.0,0
655,3.0,0
656,2.0,0
657,0.0,0
658,2.0,0
659,6.0,0
660,2.0,0
661,0.0,0
662,2.0,0
663,1.0,0
664,4.0,0
665,6.0,0
666,5.0,0
667,0.0,0
668,4.0,0
669,2.0,0
670,0.0,0
671,4.0,0
672,4.0,0
673,2.0,0
674,4.0,0
675,0.0,0
676,0.0,0
677,2.0,0
678,6.0,0
679,1.0,0
680,2.0,0
681,2.0,0
682,4.0,0
683,5.0,0
684,2.0,0
685,0.0,0
686,3.0,0
687,1.0,0
688,3.0,0
