,qlearner Return Against random,Order
0,4.0,0
1,4.0,0
2,4.0,0
3,2.0,0
4,4.0,0
5,0.0,0
6,2.0,0
7,2.0,0
8,3.0,0
9,4.0,0
10,4.0,0
11,3.0,0
12,2.0,0
13,6.0,0
14,-2.0,0
15,1.0,0
16,2.0,0
17,4.0,0
18,0.0,0
19,2.0,0
20,0.0,0
21,4.0,0
22,2.0,0
23,2.0,0
24,4.0,0
25,0.0,0
26,-2.0,0
27,0.0,0
28,2.0,0
29,7.0,0
30,2.0,0
31,0.0,0
32,0.0,0
33,4.0,0
34,3.0,0
35,0.0,0
36,-2.0,0
37,2.0,0
38,3.0,0
39,3.0,0
40,6.0,0
41,2.0,0
42,4.0,0
43,2.0,0
44,0.0,0
45,4.0,0
46,6.0,0
47,0.0,0
48,6.0,0
49,1.0,0
50,4.0,0
51,3.0,0
52,4.0,0
53,2.0,0
54,0.0,0
55,3.0,0
56,2.0,0
57,-2.0,0
58,4.0,0
59,1.0,0
60,2.0,0
61,3.0,0
62,2.0,0
63,6.0,0
64,-2.0,0
65,4.0,0
66,2.0,0
67,0.0,0
68,2.0,0
69,3.0,0
70,2.0,0
71,0.0,0
72,0.0,0
73,2.0,0
74,4.0,0
75,6.0,0
76,2.0,0
77,2.0,0
78,4.0,0
79,2.0,0
80,2.0,0
81,0.0,0
82,-2.0,0
83,6.0,0
84,2.0,0
85,3.0,0
86,0.0,0
87,2.0,0
88,0.0,0
89,4.0,0
90,4.0,0
91,0.0,0
92,3.0,0
93,0.0,0
94,3.0,0
95,2.0,0
96,4.0,0
97,-2.0,0
98,0.0,0
99,2.0,0
100,4.0,0
101,4.0,0
102,2.0,0
103,4.0,0
104,0.0,0
105,2.0,0
106,4.0,0
107,0.0,0
108,5.0,0
109,6.0,0
110,2.0,0
111,4.0,0
112,4.0,0
113,2.0,0
114,0.0,0
115,2.0,0
116,-2.0,0
117,2.0,0
118,-2.0,0
119,7.0,0
120,2.0,0
121,4.0,0
122,3.0,0
123,0.0,0
124,5.0,0
125,0.0,0
126,0.0,0
127,-2.0,0
128,0.0,0
129,0.0,0
130,4.0,0
131,2.0,0
132,0.0,0
133,4.0,0
134,0.0,0
135,4.0,0
136,2.0,0
137,4.0,0
138,4.0,0
139,4.0,0
140,2.0,0
141,4.0,0
142,0.0,0
143,0.0,0
144,0.0,0
145,1.0,0
146,1.0,0
147,2.0,0
148,2.0,0
149,2.0,0
150,4.0,0
151,2.0,0
152,7.0,0
153,-2.0,0
154,0.0,0
155,2.0,0
156,0.0,0
157,2.0,0
158,5.0,0
159,1.0,0
160,3.0,0
161,2.0,0
162,6.0,0
163,4.0,0
164,0.0,0
165,4.0,0
166,2.0,0
167,4.0,0
168,4.0,0
169,0.0,0
170,0.0,0
171,6.0,0
172,2.0,0
173,5.0,0
174,2.0,0
175,4.0,0
176,2.0,0
177,6.0,0
178,6.0,0
179,2.0,0
180,2.0,0
181,-2.0,0
182,4.0,0
183,0.0,0
184,4.0,0
185,1.0,0
186,2.0,0
187,0.0,0
188,2.0,0
189,2.0,0
190,4.0,0
191,7.0,0
192,4.0,0
193,3.0,0
194,0.0,0
195,2.0,0
196,2.0,0
197,1.0,0
198,2.0,0
199,4.0,0
200,4.0,0
201,2.0,0
202,4.0,0
203,7.0,0
204,0.0,0
205,4.0,0
206,1.0,0
207,6.0,0
208,0.0,0
209,3.0,0
210,2.0,0
211,0.0,0
212,0.0,0
213,0.0,0
214,0.0,0
215,7.0,0
216,4.0,0
217,2.0,0
218,6.0,0
219,4.0,0
